Augmentation,avg_inference_time
Invert,0.00010553147970664999
Sharpness,0.00010692040392335
Rotate,0.0001140130623221
ShearX,0.00011655964295766666
Equalize,0.00012079550643993334
Brightness,0.00013486587473606667
Hflip,0.00013499825621243332
Rcrop,0.00014377499461130003
ShearY,0.00014625820550370002
Solarize,0.0001480548528511
Posterize,0.0001480961351222
Vflip,0.0001511892461834
TranslateY,0.00017140275893646667
Nan,0.00017610409652933333
Color,0.0001829364934619
TranslateX,0.00018335721608409998
Contrast,0.0001852927373501667
SolarizeAdd,0.0002008527399618
AutoContrast,0.00021191511499276666
Cutout,0.00021767874565719998
