Augmentation,test_mAP,avg_inference_time
Hflip,0.8807228087126834,0.00013499825621243332
Vflip,0.8716072702896955,0.0001511892461834
Posterize,0.8776358863399291,0.0001480961351222
Cutout,0.8783657232760603,0.00021767874565719998
Rotate,0.8696306181326277,0.0001140130623221
Sharpness,0.8801306588261233,0.00010692040392335
Invert,0.8738486813635633,0.00010553147970664999
TranslateX,0.879331895800354,0.00018335721608409998
TranslateY,0.8806264004832921,0.00017140275893646667
AutoContrast,0.8773529326403069,0.00021191511499276666
Nan,0.8775922562509137,0.00017610409652933333
Color,0.8796572178025994,0.0001829364934619
Equalize,0.8771204946954908,0.00012079550643993334
Solarize,0.869823366981833,0.0001480548528511
SolarizeAdd,0.8699292836367348,0.0002008527399618
Brightness,0.8808587492059008,0.00013486587473606667
ShearX,0.8759362005464113,0.00011655964295766666
ShearY,0.8797725103818852,0.00014625820550370002
Contrast,0.8802945821904732,0.0001852927373501667
Rcrop,0.8792036637370216,0.00014377499461130003
